#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	320	ExpressRoute traffic is routed through a private connection.	Yes	ExpressRoute is enabled through a connectivity provider at a co-location facility that lets you link your on-premises networks to Microsoft cloud services, such as Microsoft Azure and Microsoft 365		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	321	Traffic between peered virtual networks (VNets) is routed over the public internet	No	Traffic between peered virtual networks (VNets) is not routed over the public internet. Instead, it is routed through the Microsoft backbone infrastructure without the involvement of the public internet.		Yes		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	322	A VNet is created within the scope of a region	Yes	A VNet is created within the scope of a region. A VNet is a regional resource. However, VNets from different regions can still be connected to each other via Global VNet peering using internal Microsoft connectivity in Azure or via VPN gateways using the public internet.&nbsp;		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	323	A company has an Azure Active Directory (Azure AD) Premium P1 subscription. The company has a hybrid environment that uses both Azure AD and on-premises federated AD using Active Directory Federation Services (AD FS).&nbsp;<br><br>The company is upgrading its security and must configure Azure AD self-service password reset (SSPR) and Multi-Factor Authentication (MFA). You need to identify the authentication types that are supported by both SSPR and MFA<br><br>Which three authentication types are supported by both SSPR and MFA? Each correct answer presents a complete solution	Password | Voice Call | SMS	"Password refers to your Azure Active Directory (Azure AD) password. This authentication method cannot be disabled. You must know your current password to change your own password through SSPR. If SSPR has been configured properly, users whose passwords are not workin can verify their identity through another device or phone number or security questions to set a new password.<br><br>You can use SMS to receive a verification code as a text message that you would then enter in the sign-in interface for authentication. With a voice call, you would answer the call and then press # for authentication.&nbsp;<br><br>Security questions and email addresses are supported authentication methods, but for SSPR only.&nbsp;<br><br>App password is supported for MFA, but not in all cases. App passwords are used to authenticate non-browser applications.&nbsp;"		App password | Security questions | Email address		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	324	Your Azure tenant includes an Azure Virtual Network (VNet) with several internet-facing web servers. The web servers experience attacks that exhaust server resources and make the servers unavailable to legitimate users. You determine that the attacks are being launched from multiple locations. You need to implement Azure solution that:<br><ul><li>Detects and automaitcally tries to mitigate attacks.</li><li>Generates alerts when an active attack is underway.</li></ul>What is the best option to implement your solution?	Azure DDoS Protection Standard	DDoS Protection Standard uses automatic learning of per-customer traffic patterns to help to prevent false positives. The protection would apply to all devices on the virtual network (VNet) on which the web servers are deployed, not just the web servers.&nbsp;		Azure Application Security Groups (ASG) | Azure Information Protection (AIP) | Azure Firewall		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	325	You are planning to move your company's web application to Azure. you want to use Azure's security features. You need to understand the difference between authentication and authorization in Azure.&nbsp;<br>Authentication ensures that the user name and password combination is correct	Yes	It establishes whether or not people are who they say they are, or whether a service is what it claims it is		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	326	You are planning to move your company's web application to Azure. you want to use Azure's security features. You need to understand the difference between authentication and authorization in Azure.&nbsp;<br>Authorization ensures that an account has sufficient permissions to access a resource	Yes	It determines the level of access afforded to a person or service. It can determine which data or resources a service or person is allowed to access.		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	327	You are planning to move your company's web application to Azure. you want to use Azure's security features. You need to understand the difference between authentication and authorization in Azure.&nbsp;<br>Authentication can use certificates to identify a person or service	Yes	A certificate has an embedded key that identifies a person or service		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	328	You are planning to move your company's web application to Azure. you want to use Azure's security features. You need to understand the difference between authentication and authorization in Azure.&nbsp;<br>Authorization can use password to identify a person	No	Authorization cannot use passwords to identify a person. This is referred to as authentication.&nbsp;		Yes		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	329	Includes a virtual processor, memory, storage, and networking resources	Azure Virtual Machines			Azure Functions | Container Instances		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	330	Is a lightweight, virtualized application environment	Container Instances	Containers provide many of the same benefits as virtual machines and are designed to be portable and largely self containedd. They are typically composed of the binaries and libraries required to run a single app or service		Azure Functions | Azure Virtual Machines		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	331	Includes the abstraction of servers, infrastructure, and operating systems	Azure Functions			Azure Virtual Machines | Container Instances		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	332	Microsoft Defender for Clouds supports monitoring, security recommendations, and advanced threat protection for cloud and on-premises virtual machine (VM) resources.	Yes	This means that resources and workloads are protected across a hybrid environment, whether or not they are deployed in Azure		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	333	Microsoft Defender for Cloud provides native integration with Microsoft Defender Antivirus in Windows	Yes	These protections can be extended to other cloud and on-premises resources		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	334	Microsoft Defender for Cloud support is limited to Windows operating systems only	No	It supports Windows Server 2008 and later and multiple versions of eight Linux operating system distributions.		Yes		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	335	Microsoft Defender for Cloud can automatically discover and assess security for new Azure resources as they are deployed	Yes	Monitoring and discovering is a continous process. For multi-cloud and hybrid environments protection can be extended with the help of AzureArc		No		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	336	A __________ storage account supports Blob, Queue, and Table Storage services	standard general-purpose v2	Azure standard general-purpose v2 storage accounts are cost-effective, secure, durable, and scalable storaeg solutions. They provide data protection and performance features to help you safely store and access your data. These storage account types are available in all public regions.&nbsp;		premium block blobs storage | premium file shares | premium page blobs		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	337	Your Azure tenants includes several Internet-facing web servers. The web servers rely on data stored on Azure SQL Database servers. The web servers are located in different virtual network (VNet) subnets. The databse servers have their endpoint exposed to the subnets.<br><br>You need to implement detailed controls over the types of connections supported between the web servers and database servers. You want to minimize the effort and coasts necessary to implement and maintain your solution.<br><br>Which two technologies should you include in your solution. Each correct answer presents part of the solution	Network Security Groups (NSGs) | Application Security Groups (ASGs)	In multi-tier architecture ASGs provide the possibility to group network interfaces of VMs per service tier and give each service tier human readable labels. When you configure an NSG filtering rule, instead of adding 10.0.0.0/24 you add ASG with the lable WebAcess (which groups all the web servers in your web tier) as the destination. Instead of addint 10.0.1.0/24 you add ASG with the label SQLTier (which groups all your SQL servers in your backend tier) as the destination.<br><br>NSGs are specialized packet-filtering firewalls that let you define security rules to control traffic into and out of a VNet, between subnets, or per VM. You have the option of applying NSGs to ASGs to limit their filtering to servers in those ASGs.&nbsp;<br><br>You should not include UDRs in your solution. UDRs are custom routine tables that are used to override and supplement the default routing tables in VNets.<br><br>You should not use Azure Firewall. Azure Firewall provides traffic filtering, similar to NSGs. Both services are not mutually exclusive; they can complement each other. Using Azure Firewall with NSGs can provide better defence-in-depth network security.&nbsp;<br><br>You should not include Azure Traffic Manager as a part of your solution. Azure Traffic Manager is a DNS based traffic load balancer that lets your distribute traffic across global Azure regions. it does not provide the ability to filter traffic by connection.&nbsp;		Azure Traffic Manager | Azure Firewall | User Defined&nbsp; Routes (UDRs)		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	338	Azure Security Groups (ASGs) let you ________	organize similar severs so you can easily define and implement security policies based on those groups	ASGs let you apply security to the group as a whole		directly allow or block connections to all servers running instances of the same server |&nbsp;control user access to serverless applications | define templates for the rapid deployment of application instances in an orchestrated environment		azure-part-2
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	339	Your company uses Azure Blueprints to assist with its migration to Azure. User1 should be able to assign published blueprints.<br>You need to add User1 to the role-based access control (RBAC) role necessar y to provide this permission. Your solution should follow the principle of least privilege.<br>Which role should you assign User1 to?	Blueprint Operator	You should assign User1 to the Blueprint Operator role . Members of this role can assign existing published blueprints, but they cannot create new blueprint definitions.		Contributor | Blueprint Contributor | Owner&nbsp;		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	340	CapEx costs are fixed.	Yes	CapEx is an upfront cost, and you know exactly how much is being spent. Buying the<br>servers and equipment for a datacenter is a CapEx.		No		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	341	Using CapEx for infrastructure spending is a good idea when the demand fluctuates or is unknown	No	Using CapEx for infrastructure spending is not a good ndea when the demand fluctuates or is unknown. On the contrary; CapEx is appealing when you need to predict the cost before the start of a project and plan your expenses accordingly. When the demand fluctuates or is unknown, you should consider OpEx		Yes		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	342	The Pay-as-you-go consumption model qualifies as an OpEx	Yes	The Pay-as-you-go consumption model qualifies as an OpEx. With OpEx, there is no upfront cost and you pay for a service or product as you use it.		No		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	343	You need to give all users in a group the ability to create and manage all types of Azure resources in a<br>subscription. Rights granted to the users should be kept to a minimum.<br>Which built-in role-based access control (RBAC) role should you assign to the group?	Contributor	You should assign the Contributor role. This role meets the scenario requirements but it keeps the additional permissions allowed to a minimum. The Contributor role does not include the ability to grant access to others.		Owner |&nbsp;User Access Administrator |&nbsp;Reader		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	344	When a blueprint is updated and the updated version is published, any assignments of the blueprint are updated automatically .	No	When a blueprint is updated and the updated version is published, any assignments of the blueprint are not updated automatically. You must update the blueprint assignment with the new updated version of the assignment.		Yes		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	345	When a blueprint is unassigned, all of the resources assigned by the blueprint remain in place, but blueprint resource locking is removed.	Yes	When a blueprint is unassigned. all of the resources assigned by the blueprint remain in place, but blueprint resource locking is removed. This also results in the deletion of the blueprint assignment object.		No		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	346	When you delete a core blueprint, any assigned versions of the blueprint remain in place.	Yes	When you delete a core blueprint, any assigned versions of the blueprint remain in place. A blueprint must be unassigned before it can be deleted.		No		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	347	Which Azure management tool provides a graphic interface for deploying, managing, and monitoring Azure resources?	Azure portal	It can also be used to manage all aspects of your applications. Azure portal has a home view, which is the default view with menus, and a dashboard view, which gives you easy access to tools and information.		Azure PowerShell |&nbsp;Azure Command-line interface (CLI) |&nbsp;Azure Resource Manager		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	348	You plan to extend your company's network to Azure. The network contains a VPN appliance that uses an IP address of 131..(.IP address) (not visible on BB.)&nbsp;You need to create an Azure resource that defines the VPN appliance in Azure. Which Azure resource should you create?	<div><div><div><div><div>Local network gateways</div></div></div></div></div>	A Local Network Gateway is an object in Azure that represents your on-premise VPN device. A Virtual Network Gateway is the VPN object at the Azure end of the VPN. A 'connection' is what connects the Local Network Gateway and the Virtual Network Gateway to bring up the VPN.<br><br>The local network gateway typically refers to your on-premises location. You give the site a name by which Azure can refer to it, then specify the IP address of the on-premises VPN device to which you will create a connection. You also specify the IP address prefixes that will be routed through the VPN gateway to the VPN device. The address prefixes you specify are the prefixes located on your on-premises network. If your on-premises network changes or you need to change the public IP address for the VPN device, you can easily update the values later.		Virtual network gateways | Express route circuits | Load balancers | Virtual networks		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	349	Your company plans to deploy several million sensors that will upload data to Azure. You need to identify which Azure resources must be created to support the planned solution. Which two Azure resources should you identify? Each correct answer presents part of the solution.<br>NOTE: Each correct selection is worth one point.	Azure Data Lake |&nbsp;Azure IoT Hub	IoT Hub (Internet of things Hub) provides data from millions of sensors.<br>IoT Hub is a managed service, hosted in the cloud, that acts as a central message hub for bi-directional communication between your IoT application and the devices it manages. You can use Azure IoT Hub to build IoT solutions with reliable and secure communications between millions of IoT devices and a cloud- hosted solution backend. You can connect virtually any device to IoT Hub.<br><br>There are two storage services IoT Hub can route messages to -- Azure Blob Storage and Azure Data Lake Storage Gen2 (ADLS Gen2) accounts. Azure Data Lake Storage accounts are hierarchical namespace-enabled storage accounts built on top of blob storage. Both of these use blobs for their storage.		Azure Queue storage |&nbsp;Azure File Storage |&nbsp;Azure Notification Hubs		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	350	<div>Which storage redundancy option provides the highest degree of durability, with 16 nines of durability? Choose 2 options.</div>	<div><div><div><div><div>Geo-redundant Storage |&nbsp;Read-access geo-redundant storage</div></div></div></div></div>	GRS only allows to be read in the secondary zone in the even of a failover from the primary to secondary while RA GRS allows the option to read in the secondary whenever.		Zone redundant Storage |&nbsp;Locally Redundant Storage		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	351	<div> <div><div><div><div><div>Which Azure Storage option is better for storing data for backup and restore, disaster recovery, and archiving?</div></div><div></div></div></div></div> </div> <div> </div> <div></div>	Azure Blob Storage&nbsp;	<ul><li>Azure Blob Storage (container blob - PaaS): High scalable, REST-based cloud object storage</li><li>Azure Disk Storage (IaaS):&nbsp; Presistent disk for all Azure IaaS VMs. Based on page blobs (object storage)</li><li>Azure Files Storage (IaaS): Fully manages file shares, but in the cloud, maps to standard file system structure that has a semantic design</li></ul>		Azure Disk Storage |&nbsp;Azure Files Storage		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	352	You have an Azure environment that contains 10 virtual networks and 100 virtual machines. You need to limit the amount of inbound traffic to all the Azure virtual networks. What should you create?	<div><div><div><div><div>one Azure firewall</div></div></div></div></div>	"<ul><li>NSG just block or open a port, Azure Firewall can ""limit the amount of traffic"", because it's a stateful firewall.</li><li>Both NSG and Firewall can perform this function. I believe the key is in the number of virtual networks involved. You will use an NSG for a single VN and a Firewall for multiple</li><li>inbound = key word for firewall</li><li>NSGs need to be created 10 times for all 10 VNets. Firewall can be applied to a resource group, etc. etc. AT ONCE, selecting all of them together. Imagine you had 1,000 VNets as well</li></ul>"		one network security group (NSG) |&nbsp;10 virtual network gateways |&nbsp;10 Azure ExpressRoute circuits		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	353	What can Azure Information Protection encrypt?	documents and email messages	 <div><ul><li>Azure Information Protection (sometimes referred to as AIP) is a cloud-based solution that helps an organization to classify and optionally, protect its documents and emails by applying labels. Labels can be applied automatically by administrators who define rules and conditions, manually by users, or a combination where users are given recommendations</li><li>Azure Information Protection (AIP) is a cloud-based solution that allows you to classify and protect your sensitive documents and email messages. It uses Azure Active Directory to authenticate users, and it uses Azure Rights Management to encrypt and control access to the protected documents. The encryption used in AIP is based on Azure Rights Management (Azure RMS), which uses encryption, identity, and authorization policies to help secure files and email, both in transit and when at rest.</li></ul></div>		network traffic | an Azure Storage account | an Azure SQL database		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	354	<div>You need to control the ports that devices on the Internet can use to access the virtual machines. What should you use?</div>	a network security group (NSG)	<ul><li>A network security group (NSG) contains a list of security rules that allow or deny network traffic to resources connected to Azure Virtual Networks (VNet). NSGs can be associated to subnets, individual VMs (classic), or individual network interfaces (NIC) attached to VMs (Resource Manager)</li><li>You can use an Azure network security group to filter network traffic between Azure resources in an Azure virtual network. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources. For each rule, you can specify source and destination, port, and protocol.</li></ul>		<div><div><div><div><div>an Azure Active Directory (Azure AD) role |&nbsp;an Azure Active Directory group | an Azure key vault</div></div></div></div></div>		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	355	<div><div>You need to ensure that when Azure Active Directory (Azure AD) users connect to Azure AD from the Internet by using an anonymous IP address, the users are prompted automatically to change their password.</div><div>Which Azure service should you use?</div></div>	Azure AD Identity Protection	<ul><li>Privileged Identity Management (PIM) is used to provide just-in-time and time-bound privileged access to Azure AD and Azure resources. E.g. using PIM you can provide users with an option to request for an admin role like Global Administrator, User Administrator etc., for a specific amount of time</li><li>Azure AD Identity protection is used to detect any suspicious activities associated to a user account or a specific sign-in using Artificial Intelligence</li></ul>		Azure AD Privileged Identity Management | Azure Advanced Threat Protection (ATP) |&nbsp;Azure AD Connect Health		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	356	Which of the following allows you to assign permissions to users so that they can create resources in Azure?	Role-based access control (RBAC)	<ul><li>RBAC allows you to assign permissions to users so that they can create resources in Azure. This allows you to control which users are allowed to create resources.</li><li>Policies do not allow you to assign permissions to users. Policies allow you to specify what type of resources can be created.</li></ul>		Resource groups |&nbsp;Initiatives |&nbsp;Policies		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	357	Azure Monitor begins collectlng data ___________	as soon as you add a resource to a new Azure subscription	Azure Monitor is enabled automatically for an Azure subscription and is ready to start collecting resource data, which includes metrics (numeric values) and logs organized into records.		you&nbsp;launch Azure Management Portal to start monitoring | when you&nbsp;enable diagnostics to start collecting data through Azure Monitor | when you&nbsp;create the metrics and logs data stores		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	358	You want to enable developers to improve app performance and usability.	Application Insights	Application Insights monitors the availability, performance, and usage of web applications. It exposes an API so that developers can log data to Azure and evaluate performance bottlenecks and app usability.		Alerts | Resource Health | Metrics		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	359	You want to receive an email whenever the number of requests to a web app exceeds 10,000 within an hour.	Alerts	Alerts are notifications that you set up to be sent when a metric exceeds a certain threshold.		Application Insights | Resource Health | Metrics		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	360	You want to view the number of virtual machines (VMs) that are currently down.	Resource Health	Resource Health displays a list of health issues that are related to a particular resource, such as whether a VM is available or not.		Alerts | Application Insights | Metrics		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	361	Which two locations are valid destinations for platform logs and metrics collected by Azure Monitor? Each correct answer presents a complete solution .	An Azure storage account |&nbsp;An Azure Log Analytics workspace	<ul><li>Azure Log Analytics workspace is a place in the cloud whe,e you can collect and query your log data. You can use an Azure Log Analytics workspace to explore and analyze data from a variety of sources. including Azure services, on-premises systems, and other cloud providers.</li><li>Azure Storage is a cloud-based storage service offered by Microsoft. It allows you to store data in the cloud for easy access from anywhere. You can use Azure Storage to store files, including photos, videos, and documents, to host websites and apps. and to store data for analytics purposes.</li></ul>		A Resource Health dashboard |&nbsp;An Azure Advisor monitor		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	362	You need to compare the costs of running an application workload in Azure versus on-premises.<br>What should you do to ensure that you can use the Azure TCO calculator to complete this task?	Define the server, database, storage, and networking workload.	You do not need to determine the app's compute, storage. and network requirements .This task is generally performed when the application is first depfoyed.		Initiate a paid Azure cloud subscription for your organization. |&nbsp;Determine the app's compute, storage, and network requirements. |&nbsp;Create an authorized service account in Azure Active Directory (Azure AD).		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	363	<ul><li>You deploy a new Linux virtual machine (VM) and then manually adjust its configuration in Azure portal to meet the requirements of your Development environment.</li><li>You need to capture changes made to the Development VM's configuration after the original deployment, so that you can reuse it as a template in the deployment of Test and Production VMs.</li><li>Which two actions can you perform to achieve your goal? Each correct answer presents a complete solution.</li></ul>	Export the Azure Resource Manager (ARM) template from a resource group. |&nbsp;Export the Azure Resource Manager (ARM) template from a resource.			Export the Azure Resource Manager (ARM) template from deployment history. |&nbsp;Replace the Development VM with a VM scale set. |&nbsp;Export the Azure Resource Manager (ARM) template before deployment.		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	364	Which Azure service can use autoscale to add or remove resources as appropriate to minimize costs and ensure optimum performance levels?	Azure Monitor	<ul><li>Azure Monitor can use autoscale to add or remove resources as performance. You can create rules based on metrics collected by Azure Monitor to match resources to an application load.</li><li>Azure Service Health provides information about issue and their impact and provides updates as issues are resolved. It can also keep you informed about service outages and planned maintenance</li></ul>		Azure Service Health |&nbsp;Microsoft Defender for Cloud |&nbsp;Azure Advisor		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	365	Which Azure service is used to send an email to an administrator when a virtual machine (VM) is about to exceed its usage quota for the month?	Azure Monitor alerts	Azure Monitor alerts allow an administrator to configure actions that should occur when specific conditions are met on the consumer side (conditions the consumer is responsible for). For example, alerts can be sent via an email when the CPU for a VM exceeds a certain threshold or resource usage quotas, such as CPU Credits Remaining for a VM, is reached.		Azure Monitor metrics |&nbsp;Application Insights |&nbsp;Service Health		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	366	Which feature of Azure Monitor allows you to visually analyze telemetry data?	Application Insights	It is an Application Performance Management (APM) service that detects performance in real time. Developers can install a sma ll instrumentation package in their web appl ications to send telemetry data to Azure. Administrators can then log in to the Azure portal and choose Application Insights under Azure Monitor.		Service Health |&nbsp;Alerts |&nbsp;Metrics		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	367	Which resource is required to use Azure Cloud Shell?	Storage account	<ul><li>A VM is not required to use Azure Cloud Shell. A VM is a compute resource that you use as if you were working on a local computer.</li><li>An App Services web app allows you to deploy web applications to Azure. Azure Cloud Shell is a feature of the web-based Azure portal.</li><li>A container is similar to a VM with the exception that you cannot manage the operating system. A container allows you to deploy a setf-contained application.</li></ul>		Virtual machine (VM) |&nbsp;Container |&nbsp;App Services web app		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	368	Your company has virtual machines (VMs) hosted in Microsoft Azure. The VMs are located in a single Azure virtual network named VNet1.<br>The company has users that work remotely. The remote workers require access to the VMs on VNet1.<br>You need to provide access for the remote workers.<br>What should you do?	Configure a Point-to-Site (P2S) VPN	"A Point-to-Site (P2S) VPN gateway 
connection lets you create a secure connection to your virtual network 
from an individual client computer."		Configure a Site-to-Site (S2S) VPN |&nbsp;Configure a VNet-toVNet VPN |&nbsp;Configure DirectAccess on a Windows Server 2012 server VM |&nbsp;Configure a Multi-Site VPN		azure-part-3
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	369	You are migrating a custom web application to Azure. You are responsible for managing the application tools and scaling the infrastructure beneath your application. You want to use Azure App Services to get a granular insight of performance monitoring.	Platform as a service (PaaS)			Software as a service (SaaS) |&nbsp;Infrastructure as a service (IaaS) |&nbsp;Database as a service (DBaaS)		exam-question-dump-5
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	370	<div>Your company needs to protect their application and data from datacenter failures. The company plans to move to Azure. You want to ensure that applications and data are stored in availability zones.</div> <div>Which of the following statements best describes availability zones?</div>	Physically separate locations within an Azure region			A discrete market typically containing two or more regions that preserves data residency and compliance boundaries |&nbsp;A geographical area containing at least one, but potentially multiple, datacenters that are in close proximity and networked together with a low-latency network |&nbsp;A way for you to ensure your application remains online if a high-impact maintenance event is required or a hardware failure occurs		exam-question-dump-5
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	371	<div>The IT team at the Nutex Corporation is planning to use the Azure VPN Gateway to encrypt communication between the Azure cloud network and the on-premises networks. You are the security analyst who must recommend an effective solution to achieve this.</div> <div>Which of the following statements about the Azure VPN Gateway are TRUE? (Choose four)</div>	Azure allows you to deploy your own VPN gateways or servers in Azure, either from the Azure Marketplace or by creating your own VPN routers. | Azure VPN Gateways support 16-bit ASNs. | User-defined routes must be configured in the virtual network to ensure that traffic is routed properly&nbsp; between the on-premises networks and the virtual network subnets. | Azure generates different IPsec/IKE pre-shared keys for different VPN connections created for the same virtual network.	"<div>The following statements are true:</div>
<ul>
<li>Azure allows you to deploy your own VPN gateways or servers in 
Azure, either from the Azure Marketplace or by creating your own VPN 
routers.</li>
<li>After you set up your own VPN gateways or servers, you must 
configure user-defined routes in the virtual network to ensure that 
traffic is routed properly between the on-premises networks and the 
virtual network subnets.</li>
<li>Azure generates different IPsec/IKE pre-shared keys for different 
VPN connections created for the same virtual network. This is done by 
default. However, you can use PowerShell cmdlets or the Set VPN Gateway 
Key REST API to configure a custom key value. The key must be in ASCII.</li>
<li>Azure VPN gateways support 16-bit ASNs.</li></ul>"	<div>An autonomous system (AS) is a set of Internet Protocol (IP) routing prefixes that are connected on behalf of a single administrative entity or domain that presents a common, clearly defined routing policy to the Internet. A unique autonomous system number (ASN) is allocated to each AS for use in BGP routing. An ASN uniquely identifies each network on the Internet.</div><div><br></div><div>A policy-based VPN gateway type cannot be modified to a route-based or vice versa. The original gateway must be deleted, and the intended gateway must be created. This process could take around 60 minutes. The IP address of the original gateway and the pre-shared key (PSK) will not be deleted when the original gateway is deleted.</div><div><br></div><div>Policy-based VPNs send encrypted packets through IPsec tunnels based on the IPsec policies configured with the combinations of address prefixes between your on-premises network and the Azure VNet. Route-based VPNs use “routes” in the IP forwarding or routing table to direct packets into their corresponding tunnel interfaces.</div><div><br></div><div>Although the Azure VPN gateway parameter reads “Public IP address”, this public IP address is assigned dynamically by Azure to gateways when the gateway is created. It is not static. When Azure assigns an IP address, a public IP address object gets associated to the gateway.</div><div><br></div><div>You cannot request a static IP address from Microsoft. The dynamic IP address, assigned to a gateway, will change only if the gateway is deleted and re-created. The public IP address does not change across resizing, resetting, or other internal maintenance/upgrades of your gateway.</div><div>Border Gateway Protocol (BGP) cannot be used with both policy-based and route-based VPN gateways. BGP can only be used with route-based VPN gateways.</div>	A policy-based VPN gateway can be modified to a route-based VPN Gateway and vice versa. | BGP can be used with policy-based and route-based VPN Gateways. | A VPN gateway can be assigned a static IP address provided by Microsoft Azure support.		exam-question-dump-5
